id,AUDPC_sqrt
ILW-180,22
ILL6002,141
LOAL-1,46.337538405872024
LOAL-2,38.61003047208918
LOAL-3,83.34002004307344
LOAL-4,113.30408612388365
LOAL-5,56.47292387122491
LOAL-6,124.92784888261066
LOAL-7,95.7534278289729
LOAL-8,98.14683104002688
LOAL-9,99.53412136027688
LOAL-10,42.25263511871306
LOAL-11,169.34875533567998
LOAL-12,79.54646014048251
LOAL-13,45.15959037393944
LOAL-14,106.62019707323905
LOAL-15,72.93215654385492
LOAL-16,117.29088128229904
LOAL-17,98.78840410834228
LOAL-18,80.53280197738646
LOAL-19,51.40640457234062
LOAL-20,61.97358477719543
LOAL-21,96.9251785161172
LOAL-22,54.86025309398944
LOAL-23,67.78342528134445
LOAL-24,94.13772391198579
LOAL-25,92.14419598266142
LOAL-26,157.13071837648363
LOAL-27,55.27537350656856
LOAL-28,130.03614108788838
LOAL-30,64.65245997924256
LOAL-31,46.52496862504424
LOAL-32,118.5983555036789
LOAL-33,63.29341190314342
LOAL-34,71.94907631506263
LOAL-35,24.989944717820443
LOAL-36,47.644862580441924
LOAL-37,109.21019483234218
LOAL-38,60.04918795697755
LOAL-39,78.39231503096892
LOAL-40,15.652475842498529
LOAL-41,27.215007424363947
LOAL-42,89.710593105638
LOAL-43,124.95849736003773
LOAL-44,88.27083780042193
LOAL-45,130.5320617542011
LOAL-46,22.159493977308426
LOAL-47,36.8932393686311
LOAL-48,72.95662903758529
LOAL-49,30.32928071353553
LOAL-50,79.33770848173961
LOAL-52,63.19568370034061
LOAL-53,11.992293532375975
LOAL-54,96.68925604216281
LOAL-55,38.18813079129866
LOAL-56,99.03680790330388
LOAL-57,10.34995223910953
LOAL-58,59.633962506724274
LOAL-59,110.62783263728971
LOAL-60,48.30716863068248
LOAL-61,71.9145408945455
LOAL-62,150.0329133720872
LOAL-63,51.12206401222751
LOAL-64,87.04456257942829
LOAL-65,54.01919953807028
LOAL-66,44.08805108205729
LOAL-67,108.40403437614245
LOAL-68,111.9276757457808
LOAL-69,75.77983490399122
LOAL-70,121.80791422117449
LOAL-71,113.97555207781065
LOAL-72,72.44081596662144
LOAL-73,111.79654947815219
LOAL-74,24.748737341529164
LOAL-75,50.99512545394735
LOAL-76,101.31798473809042
LOAL-77,28.35237573025462
LOAL-78,13.363062095621219
LOAL-79,6.681531047810609
LOAL-80,116.16079520373403
LOAL-81,58.01193511153213
LOAL-82,30.40991237944138
LOAL-83,75.64308039715078
LOAL-84,67.74907179463008
LOAL-85,54.829089837452045
LOAL-86,3.2274861218395143
LOAL-87,48.958907795934174
LOAL-88,79.12168155773486
LOAL-89,79.00537943398854
LOAL-90,36.69743187283224
LOAL-91,41.80318397751539
LOAL-92,71.8483706622453
LOAL-93,139.9092306171654
LOAL-94,74.12654887015773
LOAL-95,87.0115900705538
LOAL-97,108.23774554374236
LOAL-98,103.26777896696427
LOAL-99,106.82449007473144
LOAL-100,74.86957181177206
LOAL-101,0
LOAL-102,51.153873056392115
LOAL-103,86.08124983582854
LOAL-104,37.85773200854135
LOAL-105,40.796607195443265
LOAL-106,166.53868361486278
LOAL-107,32.17906445550442
LOAL-108,120.60739201550223
LOAL-109,134.36123893256263
LOAL-110,87.26351326804223
LOAL-111,42.44659010953586
LOAL-112,139.98770873105065
LOAL-113,53.08014428764754
LOAL-114,57.383714870633156
LOAL-115,133.35418519850555
LOAL-116,84.30463606725213
LOAL-117,33.15908034399089
LOAL-118,14.293440963681721
LOAL-119,97.53897975580941
LOAL-120,46.224873734152915
LOAL-121,61.09637942829086
LOAL-122,78.9103103611725
LOAL-123,11.796383174709248
LOAL-124,104.92012068393947
LOAL-126,77.12741150949269
LOAL-127,43.02003202709022
LOAL-128,139.6069482654106
LOAL-129,73.03559969480723
LOAL-130,78.87523740872385
LOAL-131,72.6004991966836
LOAL-132,55.960028219550736
LOAL-133,59.60193002617032
LOAL-134,78.55950077176713
LOAL-135,56.08286478282214
LOAL-136,108.86886546179011
LOAL-137,77.86011810634346
LOAL-138,54.40135142809835
LOAL-139,127.80193008453874
LOAL-140,128.7107702920477
LOAL-141,29.320561368532186
LOAL-142,85.40443109064768
LOAL-143,148.31272048007548
